--------------------
------------------ Simu -----------------
--------- begin Simu - metadata --------
	 tag,                 67606722-1e8a-11eb-9251-dcfb48042c8e
	 ini_time,            2020-11-04 11:42:15.359108
	 elapsed_time,        None
	 sigtag,              None
	 df_cnt,              2/2
	 name,                Sim_PEM_0.6_1_sig_05_WEAoff_2000_00_
	 tec_el,              PEM
	 tec_gen,             wind_onshore
	 year,                2015
	 start_date,          2015-01-01 00:00:00
	 end_date,            2015-01-01 00:20:00
---------- end Simu - metadata ---------
----------- begin Simu - data ----------
date,t_abs,t_diff,T_st,m_c,m_ely,i,u_cell,u_an,u_ca,u_dgr,P_in,P_act,P_st,P_rect,P_aux,p_an,p_ca,n_H2_an,n_O2_an,n_H2_ca,n_O2_ca,n_per_H2,n_per_O2,n_H2O,d_mem,X_H2inO2,X_O2inH2
2015-01-01 00:12:20,1.42007114e+18,140000000000.0,10000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 00:12:30,1.42007115e+18,150000000000.0,10000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 00:12:40,1.42007116e+18,160000000000.0,10000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 00:12:50,1.42007117e+18,170000000000.0,10000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 00:13:00,1.42007118e+18,180000000000.0,10000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 00:13:10,1.42007119e+18,190000000000.0,10000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 00:13:20,1.4200712e+18,200000000000.0,10000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 00:13:30,1.42007121e+18,210000000000.0,10000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 00:13:40,1.42007122e+18,220000000000.0,10000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 00:13:50,1.42007123e+18,230000000000.0,10000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
